#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-20T14:17:06 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-20T14:17:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/391/159/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/391/159/table1&-out=Seq&-out=Pref&-out=Suff&-out=RAJ2000&-out=DEJ2000&-out=LRV&-out=LGRV&-out=FWHM&-out=NHI&-out=Flux&-out=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33910159
#Name: J/A+A/391/159
#Title: A search for Compact High-Velocity Clouds (De Heij+, 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/391/159	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/391/159	    IVOID of underlying data collection
#INFO	creator=De Heij V.	    First author or institution
#INFO	cites=bibcode:2002A&A...391..159D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/391/159	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33910159	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_391_159_table1:
#Name: J/A+A/391/159/table1
#Title: Catalog of high velocity HI features in the LDS
#Column	Seq	(I3)	Running ID number	[ucd=meta.id]
#Column	Pref	(A5)	Name-prefix (one of HVC, CHVC, CHVC:, CHVC?)	[ucd=src.class]
#Column	Suff	(A14)	Name-suffix (LLL.L+BB.B+VVV)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A7)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A6)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	LRV	(I4)	LSR (Local Standard of Rest) radial velocity	[ucd=spect.dopplerVeloc;pos.lsr]
#Column	LGRV	(I4)	LGSR (Local Group Standard of Rest) velocity	[ucd=phys.veloc;pos.lg]
#Column	FWHM	(I3)	Velocity FWHM	[ucd=spect.line.width]
#Column	NHI	(F5.2)	Peak HI column density in units of 10^20^cm^-2^	[ucd=phys.columnDensity;stat.max]
#Column	Flux	(I5)	Total HI Flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
Seq	Pref	Suff	RAJ2000	DEJ2000	LRV	LGRV	FWHM	NHI	Flux	Simbad
209	 HVC 	064.6+29.2-115	17 43.9	+39 02	-115	  50	 55	 0.15	  130	Simbad
210	 HVC 	065.5+27.5-127	17 53.3	+39 27	-127	  44	 29	 0.25	  257	Simbad
211	 HVC 	065.5-37.2-101	22 01.7	+06 04	-101	  89	 79	 0.13	 1128	Simbad
212	 HVC 	065.7+41.2-119	16 42.4	+41 31	-119	  17	 21	 0.18	   98	Simbad
213	CHVC:	065.9-09.4-273	20 32.2	+23 48	-273	 -58	 29	 0.11	   74	Simbad
214	 HVC 	066.4+31.7-111	17 33.0	+41 06	-111	  52	 27	 0.38	  588	Simbad
215	 HVC 	066.7+24.9-124	18 07.9	+39 52	-124	  55	 41	 0.35	  593	Simbad
216	 HVC 	066.9+34.1-104	17 20.5	+41 53	-104	  55	 23	 0.54	 1592	Simbad
217	 HVC 	068.1+39.4-135	16 52.1	+43 19	-135	  12	 34	 1.22	 8467	Simbad
218	 HVC 	068.1-67.1-186	23 35.1	-12 43	-186	 -69	 29	 0.07	   57	Simbad
219	 HVC 	068.9+82.5+104	13 19.7	+31 20	 104	  98	 41	 0.10	  163	Simbad
220	CHVC 	069.0+03.8-236	19 49.4	+33 33	-236	 -19	 26	 0.15	  114	Simbad
221	 HVC 	069.4+52.6-116	15 39.5	+43 08	-116	  -9	 29	 0.09	   94	Simbad
222	 HVC 	069.4+66.5+119	14 28.9	+38 58	 119	 176	 58	 0.12	  465	Simbad
223	 HVC 	070.1+36.0-148	17 11.7	+44 39	-148	  12	 23	 0.19	  639	Simbad
224	CHVC 	070.3+50.9-144	15 48.0	+43 58	-144	 -30	 16	 0.12	   84	Simbad
225	CHVC 	070.6+43.8-142	16 27.4	+45 07	-142	  -4	 22	 0.06	   30	Simbad
226	 HVC 	070.6-46.8+158	22 40.1	+02 14	 158	 338	 30	 0.08	   25	Simbad
227	 HVC 	071.0+83.3-431	13 16.0	+31 07	-431	-440	 42	 0.09	   17	Simbad
228	 HVC 	071.0-62.9-227	23 26.3	-08 58	-227	 -93	 42	 0.28	  541	Simbad
229	CHVC 	072.0-21.9-333	21 30.2	+20 33	-333	-108	 24	 0.40	  674	Simbad
230	 HVC 	072.4-17.4-418	21 16.8	+23 49	-418	-189	134	 0.49	 1046	Simbad
231	 HVC 	072.5-12.1-137	20 59.2	+27 20	-137	  95	 74	 0.11	  657	Simbad
232	 HVC 	072.6+25.8-129	18 10.7	+45 13	-129	  62	 35	 0.18	  161	Simbad
233	 HVC 	072.6+72.5+117	13 59.3	+37 19	 117	 152	 58	 0.11	  384	Simbad
234	 HVC 	072.6-58.9-260	23 17.3	-05 35	-260	-111	 38	 0.08	   97	Simbad
235	 HVC 	072.9-08.8+240	20 48.5	+29 42	 240	 473	110	 0.16	  112	Simbad
236	 HVC 	073.4+33.3-206	17 28.2	+47 11	-206	 -32	 26	 0.07	   67	Simbad
237	 HVC 	073.5-19.8-320	21 27.8	+22 58	-320	 -90	 28	 0.06	   12	Simbad
238	 HVC 	073.5-21.2+247	21 32.1	+21 58	 247	 476	 33	 0.06	   38	Simbad
239	 HVC 	073.8+57.5+219	15 09.6	+44 14	 219	 314	 32	 0.06	   23	Simbad
240	 HVC 	074.1-61.1-235	23 25.6	-06 41	-235	 -92	 27	 0.06	   17	Simbad
241	 HVC 	074.2-67.4-212	23 43.0	-11 18	-212	 -90	 28	 1.38	  427	Simbad
242	 HVC 	074.3+36.7-155	17 08.7	+48 05	-155	  11	 23	 0.10	  318	Simbad
243	 HVC 	074.3-71.8-220	23 55.3	-14 26	-220	-113	 36	 0.47	 3425	Simbad
244	 HVC 	074.4-62.4-255	23 29.3	-07 30	-255	-116	 27	 0.17	  165	Simbad
245	 HVC 	074.5+26.1-115	18 10.8	+46 59	-115	  80	 22	 0.28	  320	Simbad
246	 HVC 	075.4-56.4-273	23 14.9	-02 42	-273	-113	 31	 0.20	  599	Simbad
247	 HVC 	075.8+29.2-120	17 54.2	+48 39	-120	  70	 21	 0.14	  118	Simbad
248	 HVC 	076.2+48.6+189	15 56.7	+48 10	 189	 320	  5	 0.04	   25	Simbad
249	 HVC 	076.3+39.3-131	16 52.7	+49 38	-131	  31	 39	 0.11	  201	Simbad
250	 HVC 	076.3-30.4-416	22 07.2	+17 16	-416	-193	 40	 0.07	   17	Simbad
251	 HVC 	076.4-31.1+214	22 09.6	+16 49	 214	 436	120	 0.21	  100	Simbad
252	 HVC 	076.5+36.8-091	17 07.8	+49 52	 -91	  79	 22	 0.46	 2599	Simbad
253	 HVC 	076.7+30.8-153	17 44.9	+49 38	-153	  34	 28	 0.08	   94	Simbad
254	CHVC:	076.9+55.5-115	15 16.9	+46 32	-115	  -9	 24	 0.10	  102	Simbad
255	 HVC 	077.0-53.1-320	23 09.3	+00 23	-320	-149	 19	 0.07	   56	Simbad
256	CHVC 	077.5-38.9-320	22 33.5	+11 32	-320	-110	 20	 0.10	   52	Simbad
257	 HVC 	077.5-42.3+195	22 42.4	+08 56	 195	 396	 30	 0.06	   16	Simbad
258	 HVC 	077.5-53.9-288	23 12.1	-00 02	-288	-118	 39	 0.07	   49	Simbad
259	 HVC 	078.1+34.7-257	17 21.2	+51 09	-257	 -79	118	 0.20	  114	Simbad
260	CHVC 	078.1+44.1-149	16 21.8	+50 23	-149	   0	 29	 0.10	   60	Simbad
261	 HVC 	078.1-79.9-114	00 21.2	-19 46	-114	 -37	 29	 2.65	69335	Simbad
262	 HVC 	078.3-69.5-222	23 53.2	-11 50	-222	-104	 36	 0.73	 1379	Simbad
263	CHVC:	078.4+54.2-158	15 21.8	+47 49	-158	 -45	 27	 0.08	   88	Simbad
264	 HVC 	078.4-59.1-263	23 26.7	-03 43	-263	-108	 26	 0.13	  139	Simbad
265	 HVC 	078.7-51.8-317	23 09.3	+02 03	-317	-139	 26	 0.29	  509	Simbad
266	 HVC 	079.0+50.4-434	15 43.0	+49 25	-434	-306	 33	 0.06	   41	Simbad
267	 HVC 	079.1-37.7-329	22 34.4	+13 11	-329	-115	 13	 0.03	   12	Simbad
268	 HVC 	079.4-42.5-333	22 47.3	+09 40	-333	-129	 35	 0.20	  256	Simbad
269	 HVC 	079.5+36.6-111	17 09.0	+52 17	-111	  64	 33	 0.14	  645	Simbad
270	CHVC:	079.6+30.8-158	17 46.9	+52 10	-158	  35	 40	 0.29	  285	Simbad
271	 HVC 	079.7+48.0-309	15 56.3	+50 35	-309	-171	 63	 0.09	   30	Simbad
272	CHVC:	080.1+22.3-209	18 41.4	+50 59	-209	   5	 20	 0.07	   65	Simbad
273	 HVC 	080.6+38.9-137	16 53.6	+52 59	-137	  33	 20	 0.20	  448	Simbad
274	 HVC 	080.6-63.2-243	23 40.2	-06 18	-243	-101	 40	 0.58	  355	Simbad
275	 HVC 	081.0-44.7-349	22 56.5	+08 37	-349	-149	 54	 0.16	  261	Simbad
276	 HVC 	081.2+37.1+096	17 04.9	+53 33	  96	 272	 14	 0.06	   15	Simbad
277	 HVC 	081.2-46.4-097	23 01.0	+07 23	 -97	  99	 37	 0.10	  140	Simbad
278	CHVC:	081.3+08.5-310	20 00.8	+46 31	-310	 -70	 30	 0.08	   48	Simbad
279	 HVC 	081.4-49.3-330	23 08.4	+05 06	-330	-141	 54	 0.33	 1287	Simbad
280	 HVC 	081.6+39.8-165	16 47.1	+53 38	-165	   3	 32	 0.08	   55	Simbad
281	 HVC 	081.6+44.8-090	16 14.3	+52 41	 -90	  61	 22	 0.13	  205	Simbad
282	 HVC 	082.1+32.3-161	17 37.9	+54 21	-161	  31	 27	 0.11	   93	Simbad
283	CHVC 	082.2+24.6-196	18 29.8	+53 25	-196	  16	 20	 0.13	  300	Simbad
284	 HVC 	082.2-53.2-295	23 19.2	+02 14	-295	-118	 27	 0.08	   60	Simbad
285	 HVC 	082.7+48.0-095	15 52.7	+52 33	 -95	  46	 73	 0.21	  517	Simbad
286	 HVC 	082.7-23.4-123	22 06.0	+26 13	-123	 120	 87	 0.11	  623	Simbad
287	 HVC 	082.9-58.3-278	23 32.3	-01 40	-278	-116	 38	 0.10	  136	Simbad
288	 HVC 	083.0+28.0-288	18 08.2	+54 45	-288	 -83	 85	 0.13	  150	Simbad
289	 HVC 	083.0+35.8-159	17 13.2	+55 08	-159	  24	 21	 0.14	  918	Simbad
290	 HVC 	083.0-41.2-369	22 52.9	+12 17	-369	-158	 31	 0.09	  123	Simbad
291	 HVC 	083.4-39.1-391	22 48.7	+14 13	-391	-174	 44	 0.10	   68	Simbad
292	 HVC 	083.6+73.3+290	13 46.2	+39 25	 290	 329	 65	 0.11	   68	Simbad
293	 HVC 	083.6-24.0+214	22 10.3	+26 17	 214	 458	 55	 0.09	   61	Simbad
294	 HVC 	083.7+33.0+164	17 33.2	+55 43	 164	 356	 28	 0.06	   16	Simbad
295	 HVC 	083.8-31.9-122	22 32.2	+20 11	-122	 110	125	 0.17	  805	Simbad
296	 HVC 	084.1+25.5-149	18 26.0	+55 17	-149	  63	 29	 0.16	  143	Simbad
297	 HVC 	084.3+31.0-167	17 47.5	+56 12	-167	  31	 21	 0.12	  185	Simbad
298	 HVC 	084.7-42.2-338	22 59.5	+12 11	-338	-127	 24	 0.05	   25	Simbad
299	 HVC 	084.7-46.7-331	23 09.9	+08 27	-331	-132	 21	 0.09	   77	Simbad
300	 HVC 	084.8-55.2-330	23 28.9	+01 27	-330	-157	 18	 0.04	   13	Simbad
301	 HVC 	084.9+28.5-138	18 05.7	+56 26	-138	  68	 24	 0.18	  236	Simbad
302	 HVC 	084.9-59.6-250	23 38.7	-02 12	-250	 -91	 25	 0.13	  115	Simbad
303	 HVC 	085.4-36.3+109	22 47.6	+17 25	 109	 335	 63	 0.15	  255	Simbad
304	 HVC 	086.5+00.9-316	20 54.3	+46 22	-316	 -61	 26	 0.10	   39	Simbad
305	 HVC 	086.8-43.6-362	23 07.8	+11 53	-362	-153	 30	 0.21	  484	Simbad
306	 HVC 	087.0+31.0-169	17 48.6	+58 27	-169	  33	 18	 0.10	   70	Simbad
307	CHVC:	087.2+02.7-296	20 48.7	+48 01	-296	 -41	 45	 0.13	  116	Simbad
308	 HVC 	087.3-20.9-108	22 13.9	+30 50	-108	 144	 29	 0.09	  150	Simbad
309	 HVC 	087.3-36.2-115	22 52.6	+18 22	-115	 113	  9	 0.26	  639	Simbad
310	 HVC 	087.5-38.2+115	22 57.9	+16 42	 115	 339	145	 0.27	  256	Simbad
311	 HVC 	087.7-38.2-390	22 58.5	+16 49	-390	-166	 74	 0.14	  164	Simbad
312	 HVC 	088.1-52.4-288	23 29.4	+04 53	-288	-103	 20	 0.05	   28	Simbad
313	 HVC 	088.1-62.9-299	23 50.9	-04 09	-299	-150	 20	 0.08	   43	Simbad
314	 HVC 	088.2+27.2-260	18 18.4	+59 14	-260	 -47	 96	 0.18	  181	Simbad
315	 HVC 	088.6+31.1-177	17 47.7	+59 49	-177	  26	 23	 0.10	   74	Simbad
316	CHVC:	089.4-65.1-315	23 57.3	-05 46	-315	-174	 24	 0.08	   73	Simbad
317	 HVC 	089.5+34.4-170	17 21.1	+60 30	-170	  24	 21	 0.59	 3083	Simbad
318	 HVC 	090.2+33.6+314	17 27.8	+61 09	 314	 511	 87	 0.09	   78	Simbad
319	 HVC 	090.2+44.7-127	16 01.1	+58 30	-127	  34	 30	 1.11	20208	Simbad
320	 HVC 	090.2-42.4-348	23 14.3	+14 11	-348	-132	 37	 0.11	   66	Simbad
321	 HVC 	090.6+30.7-254	17 51.2	+61 32	-254	 -47	100	 0.17	   44	Simbad
322	 HVC 	090.7-54.1-311	23 38.3	+04 07	-311	-130	 24	 0.53	 7158	Simbad
323	 HVC 	090.9+36.2-165	17 05.4	+61 23	-165	  25	 29	 0.08	   48	Simbad
324	 HVC 	091.2+23.4-319	18 53.0	+61 06	-319	 -93	 87	 0.13	   48	Simbad
325	 HVC 	091.7+41.3-179	16 23.0	+60 43	-179	  -6	 65	 0.22	  174	Simbad
326	 HVC 	091.8-35.6-393	23 04.7	+20 43	-393	-160	 49	 0.09	   39	Simbad
327	 HVC 	091.9+38.4-145	16 45.9	+61 47	-145	  39	 34	 1.12	 4336	Simbad
328	 HVC 	091.9+40.0-185	16 33.4	+61 19	-185	  -7	 68	 0.08	   41	Simbad
329	 HVC 	092.4-39.4-361	23 14.2	+17 36	-361	-136	 31	 0.12	   89	Simbad
330	 HVC 	092.5-52.1-268	23 38.4	+06 27	-268	 -79	 35	 0.08	   30	Simbad
331	 HVC 	092.6+88.2-439	12 55.5	+28 39	-439	-466	 24	 0.04	   36	Simbad
332	 HVC 	092.7-23.2-326	22 39.4	+31 49	-326	 -71	 48	 0.08	   31	Simbad
333	 HVC 	093.1+31.1-258	17 48.4	+63 42	-258	 -51	 79	 0.11	  106	Simbad
334	 HVC 	093.2-48.8-338	23 34.1	+09 31	-338	-139	 55	 0.53	 8698	Simbad
335	 HVC 	093.3+25.1-109	18 41.7	+63 21	-109	 114	 20	 0.74	 5319	Simbad
336	 HVC 	093.8+32.6-245	17 33.7	+64 11	-245	 -42	 58	 0.09	   25	Simbad
337	 HVC 	093.9+35.5-152	17 07.4	+63 56	-152	  42	 30	 0.19	  278	Simbad
338	 HVC 	094.0+58.8-109	14 28.7	+52 32	-109	  -2	 27	 0.12	  190	Simbad
339	 HVC 	094.1+36.4-107	16 59.2	+63 57	-107	  85	 36	 0.16	  412	Simbad
340	 HVC 	094.4+78.9-095	13 17.9	+36 44	 -95	 -78	 32	 0.19	  112	Simbad
341	CHVC:	094.4-63.0-321	00 01.3	-02 58	-321	-170	 21	 0.16	  143	Simbad
342	 HVC 	094.5-37.8-092	23 17.3	+19 48	 -92	 138	 53	 0.13	  161	Simbad
343	 HVC 	094.7-43.5-184	23 28.3	+14 45	-184	  31	 22	 0.06	   44	Simbad
344	 HVC 	095.1-76.9-164	00 26.2	-15 25	-164	 -70	 66	 0.09	  186	Simbad
345	 HVC 	095.2-54.5-342	23 48.5	+04 59	-342	-160	 22	 0.65	 2120	Simbad
346	 HVC 	095.5+52.6-113	14 56.4	+57 23	-113	  20	 26	 0.50	 3053	Simbad
347	 HVC 	095.9-35.2-108	23 16.5	+22 41	-108	 129	 35	 0.14	  439	Simbad
348	 HVC 	095.9-58.4-331	23 56.3	+01 33	-331	-163	 40	 0.08	   48	Simbad
349	 HVC 	096.0+31.8-294	17 40.0	+66 09	-294	 -87	 88	 0.10	   35	Simbad
350	 HVC 	096.8+27.1-265	18 27.1	+66 46	-265	 -45	 78	 0.11	   84	Simbad
351	 HVC 	097.0+40.3-143	16 18.4	+64 50	-143	  37	 27	 0.09	   33	Simbad
352	 HVC 	097.3+55.1-103	14 37.9	+56 27	-103	  21	 22	 0.09	   79	Simbad
353	 HVC 	097.6-28.7-310	23 09.6	+29 09	-310	 -60	 77	 0.08	  151	Simbad
354	 HVC 	097.7-51.4-378	23 48.9	+08 25	-378	-184	 60	 0.15	  155	Simbad
355	 HVC 	097.8+32.4-119	17 32.3	+67 36	-119	  87	 29	 0.25	  417	Simbad
356	 HVC 	098.7+37.2-151	16 42.6	+67 13	-151	  40	 28	 0.53	  898	Simbad
357	CHVC 	099.9-48.8-392	23 50.5	+11 21	-392	-190	 36	 0.15	  115	Simbad
358	 HVC 	100.0+40.9-150	16 03.4	+66 41	-150	  28	 21	 0.52	 1092	Simbad
359	 HVC 	100.6-53.7-348	23 59.1	+06 51	-348	-162	 65	 0.17	  161	Simbad
360	 HVC 	101.0+34.3-126	17 06.9	+69 53	-126	  75	 26	 0.14	  213	Simbad
361	 HVC 	101.5-26.2-097	23 19.5	+32 46	 -97	 159	 23	 0.07	   80	Simbad
362	 HVC 	101.6-50.2-329	23 56.6	+10 24	-329	-131	 28	 0.06	   71	Simbad
363	CHVC:	101.7-41.3-430	23 44.8	+18 48	-430	-207	 45	 0.08	   36	Simbad
364	 HVC 	101.8+39.0-138	16 13.9	+68 45	-138	  48	 28	 0.41	 3609	Simbad
365	 HVC 	102.0+24.7-111	19 01.9	+71 05	-111	 117	 25	 0.75	 2769	Simbad
366	 HVC 	102.1+45.2-172	15 20.5	+65 28	-172	  -8	 25	 0.50	  891	Simbad
367	 HVC 	102.4-14.0-149	22 58.0	+44 19	-149	 119	 34	 0.11	  357	Simbad
368	CHVC 	102.7+17.7-245	20 21.3	+69 05	-245	  -1	 58	 0.14	   54	Simbad
369	 HVC 	102.8+36.2-158	16 39.9	+70 39	-158	  37	 22	 0.09	  147	Simbad
370	CHVC 	103.4-40.1-414	23 48.0	+20 22	-414	-187	 24	 0.14	  155	Simbad
371	 HVC 	103.7+52.6-112	14 28.1	+60 44	-112	  22	 23	 1.32	10614	Simbad
372	 HVC 	103.7-56.5-119	00 09.2	+04 50	-119	  57	 88	 0.16	  532	Simbad
373	CHVC:	103.8-48.1-167	23 59.5	+12 49	-167	  38	 25	 0.08	   34	Simbad
374	 HVC 	103.9+57.1+091	14 07.4	+57 06	  91	 207	 90	 0.14	  502	Simbad
375	 HVC 	103.9-10.2-165	22 55.9	+48 25	-165	 104	 29	 0.09	  101	Simbad
376	 HVC 	104.2+61.8-095	13 50.0	+53 10	 -95	   0	 14	 0.13	  362	Simbad
377	 HVC 	104.3+27.2-292	18 32.8	+73 26	-292	 -71	 96	 0.14	   51	Simbad
378	 HVC 	104.6+56.9-114	14 05.9	+57 28	-114	   3	 20	 0.33	  576	Simbad
379	 HVC 	105.1-17.3-101	23 18.4	+42 21	-101	 164	 15	 0.47	 1953	Simbad
380	 HVC 	105.7+51.5-151	14 25.2	+62 25	-151	 -12	 30	 0.06	   27	Simbad
381	 HVC 	105.8+47.2-192	14 48.8	+65 53	-192	 -36	 50	 0.11	  109	Simbad
382	 HVC 	106.1-23.9-242	23 34.4	+36 24	-242	  16	 70	 0.15	  110	Simbad
383	 HVC 	106.8+42.9-150	15 13.9	+69 30	-150	  22	 32	 0.90	 3278	Simbad
384	 HVC 	107.7+72.8-267	13 16.1	+43 34	-267	-222	 46	 0.07	   13	Simbad
385	CHVC 	107.7-29.7-429	23 49.3	+31 19	-429	-180	 40	 0.13	   89	Simbad
386	 HVC 	107.9-59.0-121	00 20.7	+02 59	-121	  46	 94	 0.12	  206	Simbad
387	CHVC 	108.3-21.2-402	23 40.2	+39 40	-402	-141	 33	 0.08	   52	Simbad
388	 HVC 	108.4+70.1-230	13 19.8	+46 13	-230	-173	 49	 0.08	   82	Simbad
389	 HVC 	109.4-12.9-176	23 31.7	+47 52	-176	  91	 31	 0.07	   77	Simbad
390	 HVC 	109.6+49.1-130	14 17.6	+65 41	-130	  18	 23	 0.86	 1609	Simbad
391	CHVC?	110.6-07.0-466	23 27.1	+53 50	-466	-199	 25	 0.08	   91	Simbad
392	 HVC 	110.7+29.7-135	17 45.7	+78 55	-135	  78	 16	 0.12	  299	Simbad
393	 HVC 	111.2-46.2+104	00 17.8	+15 57	 104	 313	  6	 0.03	   40	Simbad
394	 HVC 	111.6-59.7+128	00 28.6	+02 43	 128	 292	 14	 0.07	   21	Simbad
395	 HVC 	111.8-34.0+099	00 09.5	+28 01	  99	 338	 34	 0.08	   56	Simbad
396	 HVC 	111.9+34.7-119	16 06.5	+77 53	-119	  79	 26	 0.11	   22	Simbad
397	 HVC 	112.0+57.7-125	13 36.4	+58 30	-125	 -13	 23	 0.51	 1736	Simbad
398	 HVC 	112.4-47.7-125	00 22.3	+14 35	-125	  78	 96	 0.17	  512	Simbad
399	 HVC 	112.6+75.7+093	13 05.0	+41 07	  93	 124	 72	 0.15	  297	Simbad
400	 HVC 	113.5-12.4-182	23 54.5	+49 26	-182	  83	 22	 0.20	 1476	Simbad
401	 HVC 	113.6-50.7+192	00 27.3	+11 45	 192	 386	123	 0.14	   47	Simbad
402	CHVC 	113.7-10.6-442	23 53.0	+51 13	-442	-177	 11	 0.18	  101	Simbad
403	 HVC 	114.0-03.1+091	23 42.2	+58 36	  91	 356	 72	 0.11	  250	Simbad
404	 HVC 	114.5+14.0+290	22 40.8	+74 39	 290	 536	 42	 0.09	   25	Simbad
405	 HVC 	114.9+31.7-110	16 31.3	+81 41	-110	  95	 30	 0.18	   78	Simbad
406	CHVC?	115.4+13.4-260	22 56.9	+74 33	-260	 -14	 95	 0.30	  375	Simbad
407	 HVC 	115.5+49.8-189	13 40.2	+66 37	-189	 -47	 41	 0.10	   77	Simbad
408	 HVC 	116.0-34.6-110	00 25.7	+27 55	-110	 125	 35	 0.11	  175	Simbad
409	 HVC 	116.2-28.0-106	00 22.4	+34 29	-106	 140	 26	 0.18	  470	Simbad
410	 HVC 	116.3+40.2-131	14 15.2	+75 48	-131	  45	 24	 0.15	  196	Simbad
411	 HVC 	116.6+26.3-345	19 18.8	+84 19	-345	-128	 59	 0.09	   23	Simbad
412	CHVC:	116.8-52.9-347	00 36.5	+09 50	-347	-163	 57	 0.08	   41	Simbad
413	 HVC 	118.0-49.0+237	00 38.2	+13 44	 237	 433	 74	 0.11	   50	Simbad
414	CHVC 	118.2-58.1-373	00 41.5	+04 39	-373	-207	 31	 0.40	  536	Simbad
415	CHVC 	118.5-32.6-386	00 34.1	+30 05	-386	-149	 26	 0.07	   19	Simbad
416	 HVC 	118.7-31.1-135	00 34.3	+31 37	-135	 104	 19	 0.09	   79	Simbad
417	 HVC 	118.8+56.2-415	13 10.2	+60 48	-415	-301	 47	 0.07	   20	Simbad
418	 HVC 	118.8+58.4-128	13 08.1	+58 36	-128	 -23	 18	 0.47	 1397	Simbad
419	CHVC 	118.9+07.5+250	00 03.9	+69 57	 250	 501	 25	 0.13	  101	Simbad
420	 HVC 	119.0+38.7+091	13 51.3	+78 00	  91	 271	 53	 0.13	  563	Simbad
421	CHVC:	119.0-73.1-300	00 46.7	-10 14	-300	-191	 34	 0.09	   19	Simbad
422	CHVC 	119.2-31.1-384	00 36.2	+31 39	-384	-146	 19	 0.12	  117	Simbad
423	 HVC 	119.4-26.1-325	00 35.5	+36 41	-325	 -79	 71	 0.11	   48	Simbad
424	 HVC 	119.8+12.3-431	00 04.5	+74 53	-431	-188	 19	 0.05	   16	Simbad
425	CHVC 	120.2-20.0-441	00 37.4	+42 47	-441	-188	 18	 0.10	   22	Simbad
426	 HVC 	120.4+41.7+096	13 21.2	+75 18	  96	 263	  5	 0.07	   30	Simbad
427	 HVC 	120.6+45.9-141	13 11.8	+71 06	-141	  11	 22	 0.32	 1110	Simbad
428	 HVC 	121.5+42.7-143	13 06.6	+74 22	-143	  20	 39	 0.24	  662	Simbad
429	 HVC 	121.6+61.3+092	12 56.1	+55 51	  92	 183	 78	 0.14	 2474	Simbad
430	 HVC 	121.7+31.8+155	13 43.0	+85 13	 155	 352	 41	 0.07	   32	Simbad
431	 HVC 	122.2+48.6+100	12 57.1	+68 30	 100	 241	 17	 0.15	  666	Simbad
432	CHVC 	122.9-31.8-325	00 51.4	+31 04	-325	 -93	 34	 0.11	   51	Simbad
433	 HVC 	123.6-15.6-110	00 55.1	+47 15	-110	 141	 51	 0.53	 2010	Simbad
434	 HVC 	123.7+29.8+096	11 52.4	+87 17	  96	 296	191	 0.20	 2668	Simbad
435	CHVC 	123.7-12.4-214	00 55.8	+50 26	-214	  38	 31	 0.13	  125	Simbad
436	 HVC 	123.8+69.7-267	12 49.6	+47 28	-267	-212	 51	 0.06	   20	Simbad
437	 HVC 	123.9-24.1-101	00 56.1	+38 45	-101	 142	 36	 0.16	  188	Simbad
438	 HVC 	124.6-09.2-169	01 02.2	+53 38	-169	  83	 51	 0.19	  840	Simbad
439	 HVC 	125.2-25.8-115	01 01.8	+37 02	-115	 124	 47	 0.12	  232	Simbad
440	CHVC 	125.3+41.3-205	12 22.5	+75 43	-205	 -42	  7	 0.31	  252	Simbad
441	 HVC 	125.4-28.6-117	01 01.7	+34 13	-117	 117	 39	 0.10	  261	Simbad
442	 HVC 	125.5-37.0-125	01 00.6	+25 47	-125	  94	 32	 0.09	  107	Simbad
443	 HVC 	125.5-55.6-100	00 57.2	+07 15	-100	  69	 25	 0.26	  466	Simbad
444	 HVC 	126.4-15.0-189	01 11.3	+47 47	-189	  58	 69	 0.15	  149	Simbad
445	 HVC 	127.0-33.5-379	01 06.9	+29 13	-379	-156	 31	 0.30	 2616	Simbad
446	 HVC 	127.5-41.6-341	01 06.0	+21 09	-341	-135	 43	 0.07	   40	Simbad
447	CHVC 	127.6+50.9-144	12 22.5	+66 00	-144	 -17	 70	 2.19	  437	Simbad
448	 HVC 	127.6-36.3-429	01 08.4	+26 24	-429	-212	 16	 0.29	  558	Simbad
449	 HVC 	127.7-11.1+096	01 21.3	+51 29	  96	 342	107	 0.12	  517	Simbad
450	 HVC 	127.9+43.1-133	11 59.7	+73 32	-133	  20	 33	 0.17	 1069	Simbad
